Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XO|WD64|52.001077|-158.691562|-4754.0|WHOI_OBS_ID: S42|2018-07-16T00:00:00|2019-09-09T23:59:59
XO|WD65|52.899057|-158.91238|-4718.0|WHOI_OBS_ID: S67|2018-07-16T00:00:00|2019-09-08T23:59:59
XO|WD66|53.31452|-159.617565|-4941.0|WHOI_OBS_ID: S72|2018-07-17T00:00:00|2019-09-06T23:59:59
XO|WD67|52.162563|-160.035832|-4652.0|WHOI_OBS_ID: S68|2018-07-16T00:00:00|2019-09-07T23:59:59
XO|WD68|52.917603|-160.081145|-4715.0|WHOI_OBS_ID: S46|2018-07-17T00:00:00|2019-09-06T23:59:59
XO|WD69|53.782065|-160.34289|-3896.0|WHOI_OBS_ID: S22|2018-07-17T00:00:00|2019-09-03T23:59:59
XO|WD70|56.541073|-151.234407|-3253.0|WHOI_OBS_ID: S53|2018-07-22T00:00:00|2019-08-28T23:59:59
XO|WP24|56.9241|-158.6603|43.0|Port Heiden, AK|2018-05-28T00:00:00|2019-12-31T23:59:59
XO|WP25|56.453|-159.7563|47.0|Wildman Lodge, AK|2018-05-29T00:00:00|2019-12-31T23:59:59
XO|WP30|56.001|-161.2014|41.0|Nelson lagoon, AK|2018-05-29T00:00:00|2019-12-31T23:59:59
XO|WS26|55.9123|-159.1431|36.0|Perryville, AK|2018-05-28T00:00:00|2019-12-31T23:59:59
XO|WS27|55.2236|-159.9136|41.0|North Nagai Island, AK|2018-05-24T00:00:00|2019-12-31T23:59:59
XO|WS28|55.0746|-162.2992|45.0|King Cove, AK|2018-05-31T00:00:00|2019-12-31T23:59:59
XO|WS71|56.15695|-153.078922|-1554.8|WHOI_OBS_ID: S87|2018-07-20T00:00:00|2019-09-03T23:59:59
XO|WS72|56.257748|-151.81063|-4141.7|WHOI_OBS_ID: S86|2018-07-21T00:00:00|2019-08-29T23:59:59
XO|WS73|54.419958|-158.513277|-2132.9|WHOI_OBS_ID: S80|2018-07-18T00:00:00|2019-10-22T23:59:59
XO|WS74|54.369193|-159.361628|-902.9|WHOI_OBS_ID: S85|2018-07-18T00:00:00|2019-09-04T23:59:59
XO|WS75|54.17963|-160.256908|-1108.9|WHOI_OBS_ID: S84|2018-07-18T00:00:00|2019-09-04T23:59:59
XV|F1TN|64.6544|-149.1595|108.1|Tanana River 1, AK, USA|2015-08-27T00:00:00|2019-10-07T23:59:59
XV|F2TN|64.7094|-149.1336|104.1|Tanana River 2, AK, USA|2018-08-03T00:00:00|2019-10-06T23:59:59
XV|F3TN|64.7716|-149.1465|103.8|Tanana River 3, AK, USA|2014-09-29T00:00:00|2019-08-18T23:59:59
XV|F4TN|64.8339|-149.1526|101.9|Tanana River 4, AK, USA|2016-09-16T00:00:00|2019-09-29T23:59:59
XV|F5MN|64.8857|-149.1814|100.7|Tanana River 5, Old Minto, AK, USA|2015-09-02T00:00:00|2019-09-29T23:59:59
XV|F6TP|64.87|-149.5598|115.5|Tanana River 6, Topo, AK, USA|2015-09-04T00:00:00|2019-10-06T23:59:59
XV|F7TV|64.8537|-149.8256|92.6|Tanana River 7, Tolovana, AK, USA|2015-09-03T00:00:00|2019-09-30T23:59:59
XV|F8KN|64.7653|-149.9307|117.9|Tanana River 8, Kantishna, AK, USA|2015-09-03T00:00:00|2019-09-30T23:59:59
XV|FAPT|64.5498|-149.0831|111.2|Nenana Airport, AK, USA|2015-08-12T00:00:00|2019-09-28T23:59:59
XV|FNN1|64.5716|-149.2178|110.0|Nunivak 1 well, AK, USA|2015-08-14T00:00:00|2019-09-01T23:59:59
XV|FNN2|64.5756|-149.4456|134.6|Nunivak 2 well, AK, USA|2015-08-13T00:00:00|2019-09-01T23:59:59
XV|FPAP|64.613|-149.0992|105.5|Papi Latham house, AK, USA|2014-09-04T00:00:00|2019-09-28T23:59:59
XV|FTGH|64.6917|-148.8279|284.5|Toghotthele, Parks Hwy, AK, USA|2015-08-12T00:00:00|2019-09-28T23:59:59
